Título,Link,Local,Salário,Salário Anunciado,Fonte,Salario_Inf,Salario_Sup
Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/30652053/,Franco da Rocha - SP (150),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/30652054/,Santana de Parnaíba - SP (150),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/30652066/,Caieiras - SP (150),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Auxiliar de Logística (Residir,https://www.catho.com.br/vagas/auxiliar-de-logistica-residir-em-pirituba/30652067/,Osasco - SP (150),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/30652058/,Barueri - SP (149),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Vagas de Educador Físico,https://www.catho.com.br/vagas/educador-fisico/30652346/,Brasilia - DF (8),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Consultora Home Office,https://www.catho.com.br/vagas/consultora-home-office/30651906/,Rio de Janeiro - RJ (10),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Corretores de imóveis,https://www.catho.com.br/vagas/corretores-de-imoveis/30646665/,Belo Horizonte - MG (10),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Account Manager (Gestor de Projetos de Marketing) | V4 Garcia & Co.,https://www.catho.com.br/vagas/account-manager-gestor-de-projetos-de-marketing-v4-garcia-co/30652372/,Betim - MG (4),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Gestor de Tráfego,https://www.catho.com.br/vagas/gestor-de-trafego-junior-v4-fares-co/30652094/,Fortaleza - CE (2),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
BDR (Vendedor | Pré,https://www.catho.com.br/vagas/bdr-vendedor-pre-vendas-v4-garcia-co/30652374/,Betim - MG (2),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
CONSULTOR DE VENDAS,https://www.catho.com.br/vagas/consultor-de-vendas/30652106/,Salvador - BA (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Nail Designer,https://www.catho.com.br/vagas/nail-designer/30652046/,Guarulhos - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Assistente de Logística,https://www.catho.com.br/vagas/assistente-de-logistica-periodo-noturno/30652049/,São Paulo - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
ASSISTENTE ADMINISTRATIVO DE PÓS VENDAS,https://www.catho.com.br/vagas/assistente-administrativo-de-pos-vendas/30652047/,Juiz de Fora - MG (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Auxiliar de Cozinha/Sushi,https://www.catho.com.br/vagas/auxiliar-de-cozinha-sushi-sharp1200/30652073/,Curitiba - PR (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
JOVEM ESTAGIÁRIA,https://www.catho.com.br/vagas/jovem-estagiaria-loja-de-esporte/30652056/,Itaperuna - RJ (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Analista de Marketing,https://www.catho.com.br/vagas/analista-de-marketing/30652080/,Sorocaba - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
ANALISTA MARKETPLACE JUNIOR,https://www.catho.com.br/vagas/analista-marketplace-junior/30652085/,Sorocaba - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Analista de Recursos Humanos (R&S),https://www.catho.com.br/vagas/analista-de-recursos-humanos-rs/30652370/,São Paulo - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Líder de Vendas | V4 Garcia & Co.,https://www.catho.com.br/vagas/lider-de-vendas-v4-garcia-co/30652376/,Betim - MG (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Garçom,https://www.catho.com.br/vagas/garcom/30652378/,Goiania - GO (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
ANALISTA DE COMPRAS,https://www.catho.com.br/vagas/analista-de-compras/30652197/,Curitiba - PR (1),A combinar,False,https://www.catho.com.br/vagas/?page=7,0.0,0.0
Assistente de Logística,https://www.catho.com.br/vagas/assistente-de-logistica-periodo-noturno/30652049/,São Paulo - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
Analista de Marketing,https://www.catho.com.br/vagas/analista-de-marketing/30652080/,Sorocaba - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
ANALISTA MARKETPLACE JUNIOR,https://www.catho.com.br/vagas/analista-marketplace-junior/30652085/,Sorocaba - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
Auxiliar de Cozinha/Sushi,https://www.catho.com.br/vagas/auxiliar-de-cozinha-sushi-sharp1200/30652073/,Curitiba - PR (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
CONSULTOR DE VENDAS,https://www.catho.com.br/vagas/consultor-de-vendas/30652106/,Salvador - BA (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
Assistente financeiro,https://www.catho.com.br/vagas/assistente-financeiro/30652206/,Belo Horizonte - MG (1),A Combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
Assistente Administrativo,https://www.catho.com.br/vagas/assistente-administrativo/30652209/,Porto Velho - RO (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
Cuidadora Infantil,https://www.catho.com.br/vagas/cuidadora-infantil/30651913/,Fortaleza - CE (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
JOVEM ESTAGIÁRIO 2 VAGAS,https://www.catho.com.br/vagas/jovem-estagiario-2-vagas-loja-de-roupas-e-acessorios-masculinos-publico-classe-a/30651914/,Itaperuna - RJ (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
Nail Designer,https://www.catho.com.br/vagas/nail-designer/30652046/,Guarulhos - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
JOVEM ESTAGIÁRIA,https://www.catho.com.br/vagas/jovem-estagiaria-loja-de-esporte/30652056/,Itaperuna - RJ (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
ASSISTENTE ADMINISTRATIVO DE PÓS VENDAS,https://www.catho.com.br/vagas/assistente-administrativo-de-pos-vendas/30652047/,Juiz de Fora - MG (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
VENDEDOR,https://www.catho.com.br/vagas/vendedor/30652108/,Salvador - BA (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
ANALISTA DE COMPRAS,https://www.catho.com.br/vagas/analista-de-compras/30652197/,Curitiba - PR (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
Bombeiro Hidráulico,https://www.catho.com.br/vagas/bombeiro-hidraulico/30652079/,Rio de Janeiro - RJ (1),A combinar,False,https://www.catho.com.br/vagas/?page=8,0.0,0.0
ESTAGIÁRIA ENGENHARIA DE PRODUÇÃO,https://www.catho.com.br/vagas/estagiaria-engenharia-de-producao-panificadora/30652044/,Itaperuna - RJ (1),A combinar,False,https://www.catho.com.br/vagas/?page=9,0.0,0.0
Armador de Ferragens,https://www.catho.com.br/vagas/armador-de-ferragens/30652074/,Itaquaquecetuba - SP (1),A combinar,False,https://www.catho.com.br/vagas/?page=9,0.0,0.0
Bombeiro Hidráulico,https://www.catho.com.br/vagas/bombeiro-hidraulico/30652079/,Rio de Janeiro - RJ (1),A combinar,False,https://www.catho.com.br/vagas/?page=9,0.0,0.0
assistente administrativo,https://www.catho.com.br/vagas/assistente-administrativo/30646666/,Balneario Camboriu - SC (1),A Combinar,False,https://www.catho.com.br/vagas/?page=9,0.0,0.0
Auxiliar de Arquitetura,https://www.catho.com.br/vagas/auxiliar-de-arquitetura/30646667/,Balneario Camboriu - SC (1),A Combinar,False,https://www.catho.com.br/vagas/?page=9,0.0,0.0
Analista de Treinamento,https://www.catho.com.br/vagas/analista-de-treinamento-1177/30643955/,São Paulo - SP (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=9,2001.0,3000.0
